where	who	kind	form	gloss
title	Hank Nater	title	How Salish is Bella Coola?	the paper's title
title	Hank Nater	name	Hank Nater	the author
abstract	Nuxalk	language	Bella Coola	the language the paper partitions
abstract	Hank Nater	notation	7.4% Coastal Salish	the share of the verbo-nominal lexicon with Coast Salish etymologies
abstract	Hank Nater	notation	4.9% Interior Salish	the share with Interior Salish etymologies
abstract	Hank Nater	notation	16.4% proto-Salish	the share with proto-Salish etymologies
abstract	Hank Nater	notation	16.8% non-Salish	the share with non-Salish etymologies, mainly North Wakash
abstract	Hank Nater	notation	2.7% areal	the areal share
abstract	Hank Nater	notation	51.8% unknown	the share with no known origin
§1	Hank Nater	heading	Introduction	section 1
§1	Hank Nater	name	Newman	whose 1973 claim on North Wakash influence the paper disputes
§1	Hank Nater	name	Kuipers	whose 2002 statement on CS and IS cognate counts the paper disputes
§1.1	Hank Nater	heading	Symbols and abbreviations used in this paper	section 1.1
§1.1	Nuxalk	language	Bella Coola	what BC abbreviates
§1.1	Hank Nater	language	Coastal Salish	what CS abbreviates
§1.1	Haisla	language	Haisla	what Ha abbreviates, North Wakashan
§1.1	Heiltsuk	language	Heiltsuk	what He abbreviates, North Wakashan
§1.1	Hank Nater	language	Interior Salish	what IS abbreviates
§1.1	Kwakiutl	language	Kwakiutl	what Kw abbreviates, North Wakashan
§1.1	Lillooet	language	Lillooet	what Li abbreviates
§1.1	Nootka	language	Nootka	what No abbreviates, not Salish
§1.1	Hank Nater	language	non-Salish	what NS abbreviates
§1.1	Hank Nater	language	North Wakash	what NW abbreviates
§1.1	Oowekyala	language	Oowekyala	what Oo abbreviates, North Wakashan
§1.1	Proto-Athabascan	language	Proto-Athabascan	what PA abbreviates, not Salish
§1.1	PS	language	proto-Salish	what PS abbreviates
§1.1	Sechelt	language	Sechelt	what Se abbreviates
§1.1	Secwepemctsin	language	Shuswap	what Sh abbreviates
§1.1	Squamish	language	Squamish	what Sq abbreviates
§1.1	Hank Nater	notation	:	what separates reduplicated and metathetic sequences
§1.1	Hank Nater	notation	=	what marks telescoping
§1.1	Hank Nater	notation	sb	somebody
§1.1	Hank Nater	notation	sth	something
§2	Hank Nater	heading	The database	section 2
§2	Hank Nater	reference	Na90	Nater 1990, the source the database is derived from
§2.1	Hank Nater	heading	Etymological classes, numbering, alphabetical order	section 2.1
§2.1	Hank Nater	notation	94 items are linked with CS	the count of Coast Salish links
§2.1	Hank Nater	notation	63 with IS	the count of Interior Salish links
§2.1	Hank Nater	notation	209 with PS	the count of proto-Salish links
§2.1	Hank Nater	notation	214 with NS	the count of non-Salish links
§2.1	Hank Nater	notation	34 are areal in nature	the count of areal items
§2.1	Hank Nater	notation	661 have no known origin	the count of items with unknown origin
§2.1	Nuxalk	notation	/ʷ/	rendered as w in the Na90 alphabetical order, and omitted before u
§2.1	Nuxalk	notation	/c/	rendered as ts in the Na90 alphabetical order
§2.1	Nuxalk	notation	/ƛ‟/	rendered as tl‟ in the Na90 alphabetical order
§2.1	Nuxalk	notation	/ɬ/	rendered as lh in the Na90 alphabetical order
§2.1	Nuxalk	notation	/x/	rendered as c in the Na90 alphabetical order
§2.1	Nuxalk	notation	/χ/	rendered as x in the Na90 alphabetical order
§2.1	Nuxalk	notation	/‟/	the last letter of the Na90 alphabet
§2.1	Nuxalk	notation	/ʔ/	rendered as 7 and ignored in the ordering
§2.2	Hank Nater	heading	Salish, areal and non-Salish etymologies: ecological lexicon	section 2.2
§2.2.1	Hank Nater	heading	CS and IS cognates	section 2.2.1
(1)	Nuxalk	cited form	ʔiɬt‟mɬ	'flea'
(1)	CS	cited form	*t‟mɬ/t‟ɬm	the Coast Salish cognate of ʔiɬt‟mɬ, from Ku67:271
(1)	Squamish	cited form	t‟ú:t‟ɬm	the Squamish cognate of ʔiɬt‟mɬ
(2)	Nuxalk	cited form	nu-s-ƛ‟p	'pool, pond'
(2)	CS	cited form	*ƛ‟ǝp	'deep (water)', the cognate of nu-s-ƛ‟p, from Ku02:143
(3)	Nuxalk	cited form	pk‟m	'mosquito'
(3)	CS	cited form	*pk‟/p‟k	the cognate of pk‟m, from Ku02:147
(4)	Nuxalk	cited form	qla	'fresh water'
(4)	CS	cited form	*qal	the cognate of qla, from Ku02:148
(5)	Nuxalk	cited form	qʷaaχ(ʷ):qʷ-ik-ɬp	'mountain ash'
(5)	CS	cited form	*qʷu/aχʷ	'grey', the cognate of qʷaaχ(ʷ):qʷ-ik-ɬp, from Ku02:150
(6)	Nuxalk	cited form	q‟ʷasta	'mountain goat wool'
(6)	CS	cited form	*q‟ʷastan	the cognate of q‟ʷasta, from Ku02:151
(7)	Nuxalk	cited form	q‟ʷwaaχ	'old mountain goat'
(7)	CS	cited form	*q‟ʷuy	'wilt', part of the cognate of q‟ʷwaaχ, from Ku02:151
(7)	CS	cited form	*-aq(‟)	'crotch', the other part of the cognate, from Ku02:212
(8)	Nuxalk	cited form	smt	'mountain'
(8)	CS	cited form	*sman((i)t)	the cognate of smt, from Ku02:145
(9)	Nuxalk	cited form	sqala	'red huckleberry'
(9)	Halkomelem	cited form	sqeˑle	the Halkomelem cognate of sqala, from Na10:73
(10)	Nuxalk	cited form	sqal-uc	'any fruit'
(10)	CS	cited form	*sqal(a)-uc	the cognate of sqal-uc
(11)	Nuxalk	cited form	s-c‟iχ	'sand, gravel'
(11)	CS	cited form	*c‟iχ	the cognate of s-c‟iχ, from Ku02:139
(12)	Nuxalk	cited form	tɬm(-)as	'Indian paint'
(12)	CS	cited form	*təmɬ	'red paint', the cognate of tɬm(-)as, from Ku02:152
(13)	Nuxalk	cited form	ci:c:cip	'bird (large)'
(13)	Squamish	cited form	cip:cpíʔɬ-tn	'nest', the Squamish cognate of ci:c:cip, from Ku67:275
(14)	Nuxalk	cited form	t‟amas	'cockle'
(14)	CS	cited form	*t‟am...	'clam', the cognate of t‟amas, from Ku02:152
(15)	Nuxalk	cited form	χala	'fern'
(15)	CS	cited form	*(s-)χal-m	the cognate of χala, from Ku02:138
(16)	Nuxalk	cited form	ʔas-ik-aaχ	'small timber, underbrush'
(16)	IS	cited form	*yik	'fall (as tree)', the Interior Salish cognate, from Ku02:130
(17)	Nuxalk	cited form	ʔilk	'mission bells, Indian rice'
(17)	IS	cited form	*ʔi/alk	the cognate of ʔilk, from Ku02:16
(18)	Nuxalk	cited form	nu-χʷan-i-cut	'whirlpool'
(18)	Nuxalk	cited affix	nu-	'water', the prefix of nu-χʷan-i-cut
(18)	IS	cited form	*χʷǝn-t	'fast', the cognate of nu-χʷan-i-cut, from Ku02:199
(19)	Nuxalk	cited form	pɬt(-)kn	'bark of bitter cherry tree'
(19)	IS	cited form	*pəkɬan	'bitter cherry', which the cognate is reshaped from, from Ku02:176
(20)	Nuxalk	cited form	qʷul-uci	'skunk'
(20)	Nuxalk	cited form	qʷuɬ	the form compared at line 304 below
(21)	Nuxalk	cited form	qʷu:qʷuul-ikn	'porpoise'
(22)	Nuxalk	cited form	q‟-ɬp	'balsam fir'
(22)	IS	cited form	*c‟q‟-əɬp	'fir', the cognate of q‟-ɬp, from Ku02:162
(23)	Nuxalk	cited form	s-xʷp-an-iɬ	'whitetail deer'
(23)	Nuxalk	cited form	xʷp	the form compared at line 282 below
(24)	Nuxalk	cited form	s-kʷlatn	'ptarmigan'
(24)	Lillooet	cited form	(s)kʷlátən	'woodpecker', the Lillooet cognate of s-kʷlatn, from DE12:21
(25)	Nuxalk	cited form	s-qc‟	'sand, gravel'
(25)	IS	cited form	*q‟ic‟(-)qn	'gizzard', the cognate of s-qc‟, from Ku02:180
(26)	Nuxalk	cited form	s-qʷuɬ	'bee, wasp'
(26)	IS	cited form	*s-qʷuɬ	the cognate of s-qʷuɬ, from Ku02:92
(27)	Nuxalk	cited form	cipsx	'fisher (animal)'
(27)	IS	cited form	*cix-(u)ps	the cognate of cipsx, from Ku02:26
§2.2.1	Lillooet	cited form	skʷl	the Lillooet form named as referring to a different bird
§1.1	Hank Nater	reference	Ca74	Carrier Dictionary Committee 1974
§1.1	Hank Nater	reference	Go75	Goddard 1975
§1.1	Hank Nater	reference	Ku67	Kuipers 1967
§1.1	Hank Nater	reference	Ku74	Kuipers 1974
§1.1	Hank Nater	reference	Na74	Nater 1973-4
§1.1	Hank Nater	reference	Ti77	Timmers 1977
§2.2.2	Hank Nater	heading	PS cognates	section 2.2.2
(28)	Nuxalk	cited form	ʔan:k‟pc	'mouse'
(28)	PS	cited form	*k‟anp‟-c	'chiseling-mouth', the cognate of ʔan:k‟pc, from Ku02:42,203
(29)	Nuxalk	cited form	xʷu(-)m	'ice'
(29)	PS	cited form	*xʷu	'freeze', the cognate of xʷu(-)m, from Ku02:21
(29)	PS	cited form	ʔuxʷ	'freeze', the variant cognate of xʷu(-)m
(30)	Nuxalk	cited form	ʔiman-ta	'bird's nest'
(30)	PS	cited form	*yman	the cognate of ʔiman-ta, from Ku02:131
(31)	Nuxalk	cited form	k‟ap-uc	'sucker fish'
