where	who	kind	form	gloss
front matter	Kʷəɬtəzétkʷu Bernice Garcia	self-introduction	ʔes ʔúməcms kʷəɬtèzetkʷuʔ təw ɬe c̓əɬétkʷu wéʔe ncitxʷ. ƛ̓uʔ wéʔec ʔex netíyxs scwew̓xmx, ƛ̓uʔ tékm xéʔe ne nɬeʔképmx e tmíxʷs,	My traditional name is kʷəɬtèzetkʷuʔ, my home is in Coldwater of ‘Nicola’ of Nlaka’pamux lands.
front matter	Ella Hannon and Anna Stacey	cited form	K̓ʷəɬtèzétkʷu	her name as the acknowledgment writes it
front matter	Ella Hannon and Anna Stacey	cited form	ném kʷukʷscémxʷ	the thanks the authors give her
title	Ella Hannon and Anna Stacey	cited form	Kʷəɬtəzétkʷu	her name as the title writes it
title	Ella Hannon and Anna Stacey	cited form	c̓əɬétkʷu	Coldwater, where she is from
§1	Ella Hannon and Anna Stacey	cited form	Nɬeʔkepmxcín	the language, ISO 639-3 thp
§1.1	Ella Hannon and Anna Stacey	cited form	nɬeʔkepmxúymxʷ	the land she grew up on
§1.1	Ella Hannon and Anna Stacey	cited form	St’át’imcets	a Northern Interior language beside it
§1.1	Ella Hannon and Anna Stacey	cited form	Secwepemctsín	a Northern Interior language beside it
§1.2	Ella Hannon and Anna Stacey	cited form	ptínusmne xʷúy̓ cút ʔə súke xʷúy̓ tékɬ ekwú	the title of Story 1
§1.2	Ella Hannon and Anna Stacey	cited form	ptínusmne xʷúy̓ tékɬ ʔə tmíxʷ	the title of Story 2
§1.2	Ella Hannon and Anna Stacey	cited form	páqʷuʔstis ɬ skʷúzkt	the title of Story 3
§1.3	Ella Hannon and Anna Stacey	cited form	nqéck	my older male cousin, the worked example
§1.3	Ella Hannon and Anna Stacey	cited form	qéck	older male cousin
§1.3	Ella Hannon and Anna Stacey	cited form	tékɬ	rain, a content word, so the dictionary marks its stress
§1.3	Ella Hannon and Anna Stacey	cited form	nukʷ	sensing evidential, a grammatical word, so stress is unmarked
§1.3	Ella Hannon and Anna Stacey	cited form	ƛ̓əp	modal
§1.3	Ella Hannon and Anna Stacey	cited form	neʔ	a monosyllabic demonstrative the dictionary is inconsistent about
§1.3	Ella Hannon and Anna Stacey	cited form	ʔéx	imperfective, stressed here for consistency with cúʔ and xʷúy̓
§1.3	Ella Hannon and Anna Stacey	cited form	cúʔ	an auxiliary verb
§1.3	Ella Hannon and Anna Stacey	cited form	xʷúy̓	an auxiliary verb
§1.3 (1)	Kʷəɬtəzétkʷu Bernice Garcia	transcription	ʔé məɬ nés ɬáx̣ʷms ʔə súke nqéck nke ƛ̓əp.	And then he spat in the sugar. Line 22 of Story 1, repeated as the worked example.
§1.3 (1)	Ella Hannon and Anna Stacey	segmentation	ʔé=məɬ nés ɬáx̣ʷ-m[-t]-Ø-s ʔə=súke n-qéck=nke ƛ̓əp
§1.3	Ella Hannon and Anna Stacey	cited form	ɬáx̣ʷms	he spit it out, the example of an underlying transitivizer
§2.1	Ella Hannon and Anna Stacey	cited form	nke	the inferential evidential clitic
§2.2	Ella Hannon and Anna Stacey	cited form	ʔé məɬ nés	the morphologically complex connective
§2.3	Kʷəɬtəzétkʷu Bernice Garcia	cited form	cúʔ sey̓ siʔmínxʷ ʔə súke	Don't play with the sugar
§2.3	Kʷəɬtəzétkʷu Bernice Garcia	cited form	ƛ̓uʔ cúʔ scmém̓ytkt	We were just children
§2.4	Kʷəɬtəzétkʷu Bernice Garcia	cited form	oh c̓ʔáq̓ʷ nukʷ	It seems damp, her yéyeʔ's comment on the sugar
§2.4	Ella Hannon and Anna Stacey	cited form	yéyeʔ	her granny
§2.4	Ella Hannon and Anna Stacey	cited form	cút	say-IMM, the quotative
§3.1	Kʷəɬtəzétkʷu Bernice Garcia	running speech	c̓íməɬ us te nés w ɬ skúl. ʔé məɬ nés npúyctis téʔe ɬ... púyctis téʔe ɬ sister, the nun. ʔéx k ne spuʔít... ƛ̓uʔ ném kn... c̓iy kn nukʷ te páʕʷt. péye ƛ̓uʔ néʔe te... c̓íc̓m néʔe néktis. ƛ̓uʔ páʕ̓ʷt kn ƛ̓uʔ... néktis néʔ teʔ sqeqéyn. péye te síc̓m... oh ném kn nukʷ te páʕʷt... ƛ̓íxweɬ ʔə sp̓éms c̓é wiʔ xéʔe... e welím.. wlwlím néʔe... ʔéx néʔe zi te qʷóʔ. ƛ̓uʔ ʔéx wiʔ néʔe. ʔéx neʔ zíxt te qʷóʔ ƛ̓uʔ ʔéx ɬ téʔe. eh, c̓íy te ɬ.. noʕʷnʕʷɬóqʷ. ʔéx ƛ̓e ssss... ʔeɬ teʔ x̣íym nukʷ. ʔé məɬ nés xʷúy̓ceʔs tu xʷeʔ cling cling cling cling. The radiators were so loud with the water running through them. It was kind of scary. ƛ̓uʔ ƛ̓íxweɬ nu... nukʷ teʔ. te nukʷ teʔ ks púc ʔə qwéc. It was a different kind of heat. It wasn’t a warm one. Not with, not like the súypm. te nukʷ teʔ ks ʔéx s téʔe nsʔítm. ƛ̓uʔ tətéʔ ks pú. ném nukʷ te stʕ̓ʷúye (?). ʔéx teʔ ʔə sister ʔə rosary beads. zéxt wiʔ. ʔé məɬ nés cqwcqwcqwcqw [imitating the sound rosary beads make]. ʔéx te ɬ x̣íym. The rosary beads, when she walked, made sounds. ʔé məɬ neʔ nsptínusm. c̓íy k… c̓íy k nukʷ te yəxáp. nsptíiiinusm néʔe. ʔé məɬ neʔ c̓é xéʔ wíʔ… ʔéx kn pípɬəx̣m. pipɬəx̣mcút nsptínusm. ʔə x̣íym wn téʔ. kʷəmíme wn.	her introduction, given on 18 June 2024, with her English following in §3.2
§3.2	Kʷəɬtəzétkʷu Bernice Garcia	free translation	When I first got to the residential school, it was different. I was only given — we were all given — just one blanket. And it didn’t seem very warm. I got cold. We were given a pillow, and it was cold. The radiators were made of iron and very noisy. And the water’d run through it. It was like boiling water. It wasn’t very warm. It wasn’t like a wood stove. So I’d be laying there, thinking about my parents, and these memories would pop up. And some of these memories, I’m talking about now, from home.	her own English for the introduction
§4.1	Kʷəɬtəzétkʷu Bernice Garcia	free translation	There’s this one memory. My yéyeʔ was having her tea in the kitchen. We stayed in a little cabin — well, to me it was huge. And she was having her tea…	her preamble to Story 1, in English
4.2 1	Kʷəɬtəzétkʷu Bernice Garcia	transcription	ʔé nés k̓ʷén̓s ʔə súkes... ʔé məɬ nés k̓ʷén̓s.	She looked at her sugar.
4.2 2	Kʷəɬtəzétkʷu Bernice Garcia	transcription	“oh c̓ʔáq̓ʷ nukʷ.”	It seems damp.
4.2 3	Kʷəɬtəzétkʷu Bernice Garcia	transcription	“c̓ʔáq̓ʷ nukʷ ʔə súke, xʷúy̓ nke tékɬ.”	The sugar seems to be damp.
4.2 4	Kʷəɬtəzétkʷu Bernice Garcia	transcription	ʔé məɬ nés cúne nke ƛ̓əp ɬ nqéck.	I overheard her saying this, and I told my older cousin,
4.2 5	Kʷəɬtəzétkʷu Bernice Garcia	transcription	“c̓ʔáq̓ʷ ekʷu ʔə súke?”	How can sugar be wet?
