where	who	kind	form	gloss
title	Hank Nater	title	Voiceless Words in Bella Coola: Fact vs. Fiction	the paper's title
title	Hank Nater	name	Hank Nater	the author
title	Hank Nater	place	Independent Linguist	the author's affiliation
abstract	Nuxalk	language	Nuχalk	the paper's own name for Bella Coola
abstract	Hank Nater	language	Bella Coola	the language the paper is about
abstract	Oowekyala	language	Oowekyala	the North Wakashan language of Rivers Inlet whose clustering is shared
abstract	Hank Nater	name	Gloria Mellesmoen	whose 2021 assertions the paper disputes
abstract	Hank Nater	name	Newman	whose 1947 position on non-syllabicity the paper agrees with
keywords	Hank Nater	heading	Bella Coola, syllabicity, Good Enough Nucleus Hypothesis, diachrony, areal features	the paper's keywords
§1	Hank Nater	heading	Introduction	section 1
§1	Nuxalk	language	Nuχalk	the language's own name, in the introduction
§1	Hank Nater	name	Alexander Mackenzie	who logged 22 native words in July 1793
§1	Nuxalk	variant spelling	<Zimilk>	Mackenzie's rendering of smłk
§1	Nuxalk	cited form	smłk	'fish'
§1	Nuxalk	variant spelling	<Kietis>	Mackenzie's rendering of χic’
§1	Nuxalk	cited form	χic’	'axe'
§1	Nuxalk	variant spelling	<Clougus>	Mackenzie's rendering of qluq’s
§1	Nuxalk	cited form	qluq’s	'eye'
§1	Nuxalk	variant spelling	<Dichts>	Mackenzie's rendering of t’χts
§1	Nuxalk	cited form	t’χts	'(it is a) stone'
§1	Hank Nater	name	Franz Boas	who cited two forms in 1886 and submitted a paper on voiceless words
§1	Nuxalk	variant spelling	<t’χt>	Boas's rendering of t’χt
§1	Nuxalk	cited form	t’χt	'stone'
§1	Nuxalk	cited form	łkʷ’	'big'
§1	Hank Nater	name	Hockett	quoted on the rejection of Boas's paper
§1	Hank Nater	name	Bagemihl	one of the scholars the clusters continued to challenge
§1	Hank Nater	name	Cook	one of the scholars the clusters continued to challenge
§1	Hank Nater	notation	GENH	the Good Enough Nucleus Hypothesis, as the paper abbreviates it
fn contact	Hank Nater	reference	hanknater@gmail.com	the author's contact address
§2	Hank Nater	heading	Phonemes and phonotactics	section 2
§2	Nuxalk	notation	/p’, t’, q’, etc./	the ejective notation this paper uses
§2	Nuxalk	notation	/p̓, t̓, q̓, etc./	the equivalent notation with the mark over the letter
§2	Nuxalk	notation	/kʷ’, qʷ’/	the rounded ejective notation this paper uses
§2	Nuxalk	notation	/k̓ʷ, q̓ʷ/	the equivalent notation with the mark over the letter
§2	Nuxalk	notation	#’R	a glottal stop before a sonorant at a boundary
§2	Nuxalk	notation	#ʔR	the same sequence written with ʔ
§2	Nuxalk	notation	/ł/	this paper's lateral fricative
§2	Nuxalk	notation	/ɬ/	the same phoneme in the shared orthography
§2	Nuxalk	notation	/χ/	this paper's uvular fricative
§2	Nuxalk	notation	/x̌/	the same phoneme in the shared orthography
§2	Nuxalk	notation	/χʷ/	this paper's rounded uvular fricative
§2	Nuxalk	notation	/x̌ʷ/	the same phoneme in the shared orthography
§2	Nuxalk	notation	/ə/	the schwa Mellesmoen adds and the paper says is not distinctive
§2	Nuxalk	notation	XN̩X	an environment schwa appears in predictably
§2	Nuxalk	notation	PNV	an environment schwa appears in marginally
§2	Nuxalk	notation	SNV	an environment schwa never appears in
§2	Nuxalk	cited form	/pk̓əmk̓əmi/	'mosquito (DIM)', the form whose PNV sequence is underlined
§2	Nuxalk	phonetic	[…c’ʔ͡me̝]	what one hears in that sequence
§2	Nuxalk	phonetic	*[…c’ɪ̆me̝]	what one does not hear there
Table 1	Hank Nater	heading	Bella Coola phoneme inventory	the caption of Table 1
Table 1	Nuxalk	notation	/p/	the labial plain plosive, 2.68 percent of the morpheme inventory
Table 1	Nuxalk	notation	/p’/	the labial ejective plosive, 0.56 percent
Table 1	Nuxalk	notation	/m/	the labial consonantal sonorant, 3.18 percent
Table 1	Nuxalk	notation	/m̩/	the labial vocalic sonorant, 1.81 percent
Table 1	Nuxalk	notation	/t/	the dental plain plosive, 4.75 percent
Table 1	Nuxalk	notation	/t’/	the dental ejective plosive, 1.04 percent
Table 1	Nuxalk	notation	/n/	the dental consonantal sonorant, 3.99 percent
Table 1	Nuxalk	notation	/n̩/	the dental vocalic sonorant, 0.92 percent
Table 1	Nuxalk	notation	/c/	the alveolar plain plosive, 3.01 percent
Table 1	Nuxalk	notation	/c’/	the alveolar ejective plosive, 1.78 percent
Table 1	Nuxalk	notation	/s/	the alveolar fricative, 8.13 percent
Table 1	Nuxalk	notation	/ƛ’/	the lateral ejective plosive, 0.95 percent
Table 1	Nuxalk	notation	/ł/	the lateral fricative, 4.75 percent
Table 1	Nuxalk	notation	/l/	the lateral consonantal sonorant, 3.97 percent
Table 1	Nuxalk	notation	/l̩/	the lateral vocalic sonorant, 0.85 percent
Table 1	Nuxalk	notation	/k/	the palatal plain plosive, 2.39 percent
Table 1	Nuxalk	notation	/k’/	the palatal ejective plosive, 1.48 percent
Table 1	Nuxalk	notation	/x/	the palatal fricative, 1.65 percent
Table 1	Nuxalk	notation	/y/	the palatal consonantal sonorant, 2.45 percent
Table 1	Nuxalk	notation	/i/	the palatal vocalic sonorant, 8.12 percent
Table 1	Nuxalk	notation	/q/	the uvular plain plosive, 1.61 percent
Table 1	Nuxalk	notation	/q’/	the uvular ejective plosive, 1.38 percent
Table 1	Nuxalk	notation	/χ/	the uvular fricative, 2.58 percent
Table 1	Nuxalk	notation	/kʷ/	the velar rounded plain plosive, 1.67 percent
Table 1	Nuxalk	notation	/kʷ’/	the velar rounded ejective plosive, 0.86 percent
Table 1	Nuxalk	notation	/xʷ/	the velar rounded fricative, 1.17 percent
Table 1	Nuxalk	notation	/w/	the rounded consonantal sonorant, 1.86 percent
Table 1	Nuxalk	notation	/u/	the rounded vocalic sonorant, 6.49 percent
Table 1	Nuxalk	notation	/qʷ/	the uvular rounded plain plosive, 1.24 percent
Table 1	Nuxalk	notation	/qʷ’/	the uvular rounded ejective plosive, 1.02 percent
Table 1	Nuxalk	notation	/χʷ/	the uvular rounded fricative, 1.44 percent
Table 1	Nuxalk	notation	/’/	the laryngal plosive, 4.20 percent
