where	who	kind	form	gloss
title	Julie Wolfe	title	Lexical Suffixes and Connectives in Proto-Central Salish and Beyond	the paper's title
title	Julie Wolfe	name	Julie Wolfe	the author
title	Julie Wolfe	place	University of Victoria	the author's institution
abstract	Julie Wolfe	language	Proto-Central Salish	the reconstructed ancestor the paper reconstructs suffixes for
abstract	PCS	cited affix	*lʸ	the PCS resonant Galloway 1988 reconstructs
abstract	PCS	cited affix	*-ay-	a PCS connective whose meaning the paper discusses
abstract	PCS	cited affix	*-alʸ-	a PCS connective whose meaning the paper discusses
abstract	Julie Wolfe	language	Tillamook	a branch outside Central Salish where reflexes are found
abstract	Julie Wolfe	language	Tsamosan	a branch outside Central Salish where reflexes are found
keywords	Julie Wolfe	heading	Central Salish, lexical suffix, connective, historical Salish	the paper's keywords
§1	Julie Wolfe	heading	Introduction	section 1
§1	Julie Wolfe	language	Proto-Salish	the reconstructed ancestor of the whole family
§1	PS	cited affix	*-al-	a PS connective Kinkade 1998 reconstructs
§1	PS	cited affix	*-ay-	a PS connective Kinkade 1998 reconstructs
§1	PS	cited affix	*-ul-	a PS connective Kinkade 1998 reconstructs
§1	PS	cited affix	ɬ	the lateral fricative Kinkade suggests a further connective included
§1	PCS	cited affix	*-al-	a connective Pincott 2021 proposes PCS used productively
§1	PCS	cited affix	*-aɬ-	a connective Pincott 2021 proposes PCS used productively
§1	PCS	cited affix	*-aw-	a connective Pincott 2021 proposes PCS used productively
§1	PCS	cited affix	*-ay-	a connective Pincott 2021 proposes PCS used productively
§1	PCS	cited affix	*-úl-	a connective Pincott 2021 proposes PCS used productively
§1	PCS	cited affix	*-alʸ-	what the author proposes PS *-al- became in PCS
fn*	Julie Wolfe	name	Su Urbanczyk	thanked for feedback, insight and guidance
fn*	Julie Wolfe	name	Sharon Hargus	thanked for support and encouragement
fn*	Julie Wolfe	name	Zev Handel	thanked for support and encouragement
fn*	Julie Wolfe	reference	jvwolfe@uvic.ca	the author's contact address
fn1	Julie Wolfe	notation	c	the Americanist symbol the paper writes ʦ with
